Unnamed: 0,Job Title,Job Description,cleaned_jd,location,job_type,experience_required,extracted_skills,extracted_location,jd_id
439,Backend Developer,"Backend - Python Developer
The Software team at Yolo Health is an important part of our success, and we are looking for the best people out there. We are looking for a results-driven Back-end Developer (Python/Django) who will work with team members to achieve success.
Job Responsibilities:
Minimum 1-3 years of working experience on back-end technologies like Python/Django
Knowledge of REST API
Basic understanding of front-end technologies and platforms, such as JavaScript, HTML 5, and CSS3
In-depth knowledge of software architecture
Good understanding of cloud services like AWS
Should have a passion for coding
Ability to work independently or with a group.
Ready to learn the things with self-interest
Job Responsibilities:
Graduate/Post Graduate from a technical background
Minimum 1-3 years of experience
Focus on efficiency, user experience, and process improvement.
Strong problem solving and verbal and written communication skills
Excellent project and time management skills
Salary is negotiable for the right candidate
Application Deadline: 27/10/2020
Job Types: Full-time, Walk-In
Pay: From ₹400,000.00 per year
Experience:
total work: 1 year (Required)
Education:
Bachelor's (Required)
Location:
Mumbai, Maharashtra (Required)
Work Remotely:
No",backend  python developer the software team at yolo health is an important part of our success and we are looking for the best people out there we are looking for a resultsdriven backend developer pythondjango who will work with team members to achieve success job responsibilities minimum 13 years of working experience on backend technologies like pythondjango knowledge of rest api basic understanding of frontend technologies and platforms such as javascript html 5 and css3 indepth knowledge of software architecture good understanding of cloud services like aws should have a passion for coding ability to work independently or with a group ready to learn the things with selfinterest job responsibilities graduatepost graduate from a technical background minimum 13 years of experience focus on efficiency user experience and process improvement strong problem solving and verbal and written communication skills excellent project and time management skills salary is negotiable for the right candidate application deadline 27102020 job types fulltime walkin pay from 40000000 per year experience total work 1 year required education bachelors required location mumbai maharashtra required work remotely no,"Mumbai, India",Remote,,"['html', 'aws', 'python', 'javascript', 'rest api']","Mumbai, India",19
445,Flutter Developer,"Location: Chandigarh
Experience Level: 1 year
Vacancies: 2

Job Responsibilities

Design and build advanced applications for the Android and iOS platform Collaborate with cross-functional teams to define, design, and ship new features Work with outside data sources and APIs Unit-test code for robustness, including edge cases, usability, and general reliability Work on bug fixing and improving application performance Continuously discover, evaluate, and implement new technologies to maximize development efficiency

Skills Required
Experience developing in Flutter is, obviously, a must.
BS/MS degree in Computer Science, Engineering or a related subject
Proven working experience in Flutter app development and must have built at least two Android and/or iOS apps with Flutter
Have published two or more mobile apps in Google Play or App Store
Experience creating Material Design styled apps
Strong unit test and debugging skills
Experience working with remote data via REST and JSON
Experience with third-party libraries and APIs
Working knowledge of the general mobile landscape, architectures, trends, and emerging technologies
Solid understanding of the full mobile development life cycle.
Create multi-platform apps for iOS and Android.",location chandigarh experience level 1 year vacancies 2 job responsibilities design and build advanced applications for the android and ios platform collaborate with crossfunctional teams to define design and ship new features work with outside data sources and apis unittest code for robustness including edge cases usability and general reliability work on bug fixing and improving application performance continuously discover evaluate and implement new technologies to maximize development efficiency skills required experience developing in flutter is obviously a must bsms degree in computer science engineering or a related subject proven working experience in flutter app development and must have built at least two android andor ios apps with flutter have published two or more mobile apps in google play or app store experience creating material design styled apps strong unit test and debugging skills experience working with remote data via rest and json experience with thirdparty libraries and apis working knowledge of the general mobile landscape architectures trends and emerging technologies solid understanding of the full mobile development life cycle create multiplatform apps for ios and android,"Chandigarh, India",Remote,,"['flutter', 'ios', 'android']","Chandigarh, India",20
455,Network Administrator,"Location: Chennai
Experience: 8 - 15
Notice Period: Immediate
Experience in supporting enterprise-scale Windows Linux systems
Should have a good knowledge of system processes.
Linux System Engineer (senior/advanced level) Experience with Automation tools such as Ansible, puppet, chef, salt (one of which)
Good knowledge about networks (LAN/WAN/ RoutingTCP/ OSPF/VPNS/etc)
Good knowledge of some script languages such as Bash, Python, GO, etc €¢ Good knowledge about Virtualization tools, such vmware vsphere, NSX
Azure cloud knowledge is beneficial
Hands-on experience on ticketing tools like Remedy, Service Now etc. Provide 1st and 2nd level support
Excellent oral and written communications skills
Should be willing to work in 24 x 7 shift support
Job Type: Full-time
Salary: ₹30,000.00 - ₹100,000.00 per month
Schedule:
Day shift
Industry:
Administrative Assistance
Work Remotely:
Temporarily due to COVID-19",location chennai experience 8  15 notice period immediate experience in supporting enterprisescale windows linux systems should have a good knowledge of system processes linux system engineer senioradvanced level experience with automation tools such as ansible puppet chef salt one of which good knowledge about networks lanwan routingtcp ospfvpnsetc good knowledge of some script languages such as bash python go etc  good knowledge about virtualization tools such vmware vsphere nsx azure cloud knowledge is beneficial handson experience on ticketing tools like remedy service now etc provide 1st and 2nd level support excellent oral and written communications skills should be willing to work in 24 x 7 shift support job type fulltime salary 3000000  10000000 per month schedule day shift industry administrative assistance work remotely temporarily due to covid19,"Chennai, India",Remote,7,"['bash', 'windows', 'python', 'go', 'azure', 'linux', 'ansible']","Chennai, India",21
506,iOS Developer,"We are urgently looking for an iOS Developer who possesses a passion for pushing mobile technologies to the limits. We need an iOS Developer with 3-5 years of experience in iOS Mobile application development. The detail Job Description and desired profile for the proposed position are as under:

Eligibility:

Experience: 3-5 years +
Education: B.E/ B.Tech (CS) / MCA Degree
Job Location: Delhi & NCR.
Job Ref code: 1907iOS01
Industry: IT/Computers- Software

Desired Profile:
Must 3-4 years of experience as iOS Developer
Having knowledge of Configuration Management tools (TFS, SVN, etc).
Experience with iOS frameworks such as Core Data, Core Animation, etc.
Expertise with iOS SDK (UIKit, Cocoa Touch, WebKit, etc)
Design and build applications for the iOS platform
Proficient with Objective-C or Swift or React Native
Familiarity with RESTful APIs to connect iOS applications to back-end services
Knowledge of other web technologies and UI/UX standard.
Should have developed 4-5 applications at least as per Apple standards, minimum 2-3 currently on the App Store.
Desirable Skills:
Knowledge of PhoneGap

Job Type : Contractual (Initially for 1 year)
Job Location : Delhi IT Park (Shastri Park)
Joining Time : Immediate or 15 to 20 days",we are urgently looking for an ios developer who possesses a passion for pushing mobile technologies to the limits we need an ios developer with 35 years of experience in ios mobile application development the detail job description and desired profile for the proposed position are as under eligibility experience 35 years  education be btech cs  mca degree job location delhi  ncr job ref code 1907ios01 industry itcomputers software desired profile must 34 years of experience as ios developer having knowledge of configuration management tools tfs svn etc experience with ios frameworks such as core data core animation etc expertise with ios sdk uikit cocoa touch webkit etc design and build applications for the ios platform proficient with objectivec or swift or react native familiarity with restful apis to connect ios applications to backend services knowledge of other web technologies and uiux standard should have developed 45 applications at least as per apple standards minimum 23 currently on the app store desirable skills knowledge of phonegap job type  contractual initially for 1 year job location  delhi it park shastri park joining time  immediate or 15 to 20 days,"Delhi, India",Contract,,"['react', 'ios', 'react native', 'swift']","Delhi, India",22
509,Network Administrator,"Company description
ARMSOFTECH.AIR provides state of the art and most advanced IT & ITES infrastructure for our clients. We have extensive experience of managing the depth and breadth of services, enabling our clients to derive significant benefits in terms of reduced service provisioning turnaround time, reduced customer churn and enhanced customer satisfaction. Our products & services are developed and managed by personnel having many man years of carefully gleaned experience in the BFSI industry.
Job description
Warm Greetings!
We have an Excellent Job Offer for Network Expertise
Skill: Network Engineer|CNA/CCNP Certified|3.5 - 8 Years of Experience
Work Location: Chennai
Employment Type: Permanent
Interested?
Drop your resume for further Process.
Application Deadline: 31/10/2020
Expected Start Date: 19/10/2020
Job Type: Full-time
Salary: From ₹10,000.00 per month
Experience:
8: 3 years (Preferred)
7: 3 years (Preferred)
Education:
Bachelor's (Required)
Work Remotely:
No",company description armsoftechair provides state of the art and most advanced it  ites infrastructure for our clients we have extensive experience of managing the depth and breadth of services enabling our clients to derive significant benefits in terms of reduced service provisioning turnaround time reduced customer churn and enhanced customer satisfaction our products  services are developed and managed by personnel having many man years of carefully gleaned experience in the bfsi industry job description warm greetings we have an excellent job offer for network expertise skill network engineercnaccnp certified35  8 years of experience work location chennai employment type permanent interested drop your resume for further process application deadline 31102020 expected start date 19102020 job type fulltime salary from 1000000 per month experience 8 3 years preferred 7 3 years preferred education bachelors required work remotely no,"Chennai, India",Remote,,[],"Chennai, India",23
514,Backend Developer,"Experience in Need rest, PHP, Aws or Google cloud.
Knowledge of MY sql, PHP framework and angular is a plus.

Experience - 1.5 to 3 years

Qualification - BE / B. Tech/BSC/MCA/BCA

Location - Pune

Salary - Upto 45000/- per month

12 months contractual bond

Contract length: 12 months

Job Types: Full-time, Contract

Salary: Up to ₹45,000.00 per month

Schedule:
Flexible shift
Experience:
API's like REST and SOAP: 2 years (Preferred)
PHP, Aws or Google cloud: 2 years (Preferred)
Education:
Bachelor's (Preferred)",experience in need rest php aws or google cloud knowledge of my sql php framework and angular is a plus experience  15 to 3 years qualification  be  b techbscmcabca location  pune salary  upto 45000 per month 12 months contractual bond contract length 12 months job types fulltime contract salary up to 4500000 per month schedule flexible shift experience apis like rest and soap 2 years preferred php aws or google cloud 2 years preferred education bachelors preferred,"Pune, India",Contract,,"['angular', 'aws', 'php', 'soap']","Pune, India",24
525,iOS Developer,"Experience: 1 to 3 years
Number of openings: 5
Salary: up to 30k CTC
Location: Ahmedabad
Education: BCA / MCA / BE-IT / Computer Engineer / BE-Computer Science
Requirements:
Good knowledge of swift and objective-c.
MVC architecture, Inheritance, classes, and struct.
Good knowledge about local databases (like coredata, sqlite).
Push notification and local notification.
Networking like API calling with Alamofire and URLSession.
Protocols and notification center.
Layout design with constraint.
Job Type: Full-time
Salary: Up to ₹30,000.00 per month
Schedule:
Day shift
Experience:
iOS: 1 year (Required)
Education:
Bachelor's (Preferred)
Programming Languages needed:
Objective-C (Required)
Swift (Required)
Work Remotely:
No
Speak with the employer
+91 9727763099",experience 1 to 3 years number of openings 5 salary up to 30k ctc location ahmedabad education bca  mca  beit  computer engineer  becomputer science requirements good knowledge of swift and objectivec mvc architecture inheritance classes and struct good knowledge about local databases like coredata sqlite push notification and local notification networking like api calling with alamofire and urlsession protocols and notification center layout design with constraint job type fulltime salary up to 3000000 per month schedule day shift experience ios 1 year required education bachelors preferred programming languages needed objectivec required swift required work remotely no speak with the employer 91 9727763099,"Ahmedabad, India",Remote,,"['sqlite', 'ios', 'swift']","Ahmedabad, India",25
572,Software Engineer,"Job Requisition ID #
20WD41147

Position Overview
This position will be based in our Enterprise Delivery Center, located in
Bangalore, India. Our EDC is focused on customer experience and
comprised of highly skilled and well-motivated Technology Support
Analysts and Engineers. This position will be a part of a high-volume
enterprise delivery team with expectations around excellence and
efficient engineering solutions on machine learning and chat bot tools

Responsibilities
Design and build knowledge extraction algorithms from both Web and enterprise data, machine learning algorithms for text processing, conversational bots, data ingestion and serving systems
Design, train and deploy custom ML models aimed at solving unique business problems
Develop and support highly scalable interfaces and APIs
Work with product owners and customers on understanding their learning applications, assisting with integration and providing ML expertise
Produce high quality code that is unit tested, code reviewed, and checked in regularly for continuous integration
Minimum Qualifications
Bachelor’s degree in computer science, Engineering, mathematics, or related
5 years of experience with core machine learning and data analysis algorithms and their use in production scenarios. Ideal candidates would\\have either worked in a product that uses ML heavily, or have distinguished extracurricular experiences
Experiences with big data technologies such as Hadoop, Spark, SQL, HDInsight, Azure Data Lake, Cosmos on SaaS and PaaS delivery models
Mastery of object-oriented design, coding and testing patterns Deep understanding of data structures, algorithms, programming patterns, and solving complex problems
Excellent scripting, rapid prototyping and data analysis skills
Experience with developing statistical modeling techniques, optimization methods, and other ML techniques to different applications in business and engineering
About Autodesk
With Autodesk software, you have the power to Make Anything. The future of
making is here, bringing with it radical changes in the way things are
designed, made, and used. It’s disrupting every industry: architecture,
engineering, and construction; manufacturing; and media and
entertainment. With the right knowledge and tools, this disruption is
your opportunity. Our software is used by everyone - from design
professionals, engineers and architects to digital artists, students and
hobbyists. We constantly explore new ways to integrate all dimensions
of diversity across our employees, customers, partners, and communities.
Our ultimate goal is to expand opportunities for anyone to imagine,
design, and make a better world

At Autodesk, we're building a diverse workplace and an inclusive culture to give more people the chance to imagine, design, and make a better world. Autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race, color, religion, age, sex, sexual orientation, gender, gender identity, national origin, disability, veteran status or any other legally protected characteristic. We also consider for employment all qualified applicants regardless of criminal histories, consistent with applicable law.

Are you an existing contractor or consultant with Autodesk? Please search for open jobs and apply internally (not on this external site). If you have any questions or require support, contact Autodesk Careers.",job requisition id  20wd41147 position overview this position will be based in our enterprise delivery center located in bangalore india our edc is focused on customer experience and comprised of highly skilled and wellmotivated technology support analysts and engineers this position will be a part of a highvolume enterprise delivery team with expectations around excellence and efficient engineering solutions on machine learning and chat bot tools responsibilities design and build knowledge extraction algorithms from both web and enterprise data machine learning algorithms for text processing conversational bots data ingestion and serving systems design train and deploy custom ml models aimed at solving unique business problems develop and support highly scalable interfaces and apis work with product owners and customers on understanding their learning applications assisting with integration and providing ml expertise produce high quality code that is unit tested code reviewed and checked in regularly for continuous integration minimum qualifications bachelors degree in computer science engineering mathematics or related 5 years of experience with core machine learning and data analysis algorithms and their use in production scenarios ideal candidates wouldhave either worked in a product that uses ml heavily or have distinguished extracurricular experiences experiences with big data technologies such as hadoop spark sql hdinsight azure data lake cosmos on saas and paas delivery models mastery of objectoriented design coding and testing patterns deep understanding of data structures algorithms programming patterns and solving complex problems excellent scripting rapid prototyping and data analysis skills experience with developing statistical modeling techniques optimization methods and other ml techniques to different applications in business and engineering about autodesk with autodesk software you have the power to make anything the future of making is here bringing with it radical changes in the way things are designed made and used its disrupting every industry architecture engineering and construction manufacturing and media and entertainment with the right knowledge and tools this disruption is your opportunity our software is used by everyone  from design professionals engineers and architects to digital artists students and hobbyists we constantly explore new ways to integrate all dimensions of diversity across our employees customers partners and communities our ultimate goal is to expand opportunities for anyone to imagine design and make a better world at autodesk were building a diverse workplace and an inclusive culture to give more people the chance to imagine design and make a better world autodesk is proud to be an equal opportunity employer and considers all qualified applicants for employment without regard to race color religion age sex sexual orientation gender gender identity national origin disability veteran status or any other legally protected characteristic we also consider for employment all qualified applicants regardless of criminal histories consistent with applicable law are you an existing contractor or consultant with autodesk please search for open jobs and apply internally not on this external site if you have any questions or require support contact autodesk careers,"Bangalore, India",Contract,,"['machine learning', 'azure']","Bangalore, India",26
585,Software Engineer,"Job Title: Software Engineer- Java
Job Location: Whitefield, Bangalore
About Company:
Thermo Fisher Scientific Inc. is the world leader in serving science, with revenues of more than $25 billion and approximately 75,000 employees globally. We help our customers accelerate life sciences research, solve complex analytical challenges, improve patient diagnostics, deliver medicines to market and increase laboratory productivity.
Through our premier brands - Thermo Scientific, Applied Biosystems, Invitrogen, Fisher Scientific and Unity Lab Services - we offer an unmatched combination of innovative technologies, purchasing convenience and comprehensive services.
About Team:
We are Digital Engineering Team - the software center of excellence for Thermo Fisher Scientific. We are responsible for developing and delivering SaaS based applications and digital lab (Cloud-based) tools, to help scientists do their work more efficiently and with precision, enabling them to make our world healthier, cleaner and safer. Our world class software products and solutions accelerate scientific discovery and lab productivity. These solutions
provide rich content, selection tools, collaboration tools and scientific apps that allow our customers to focus on innovation and the complexities of their science.
create a connected world for our customers where discoveries happen the smart way - where every device/product is connected, self-aware, and self-healing-thereby enabling efficient workflows and collaborative science.
enable our customers to efficiently manage their lab by providing them insight to workflow processes, asset uptime and product availability.
We give them the flexibility to access what they need when they need it, allowing them to select and receive products and services across multiple channels. We apply industry best practices to the design, development, and deployment of world-class software products built to leverage the power and scalability of the cloud.

Roles & Responsibilities:
We are looking for a backend web developer to join our new and growing engineering team in eCommerce. The ideal candidate is an energetic self-starter with strong work experience. This person will play a central role in the delivery of applications and services that empower users to improve their health.
As a senior software engineer, you will be responsible for: Designing, developing, testing, and deploying applications, participating in architecture and code reviews, helping to prioritize features and bug fixes, working collaboratively with cross-functional teams at Thermofisher, leading in the pursuit and delivery of the best possible product.

Job Functions:
Define and develop verifiable requirements and software designs.
Develop technical documentation for software architecture, design, and verification plans.
Define and develop software requirements, architectures and designs suited or fault-tolerant systems.
Participate in all aspects of software development, systems integration, test execution, issue resolution, and reviews.
Collaborate and communicate effectively with software, hardware, and test engineers across the team.

Candidate Requirement:
Education & Experience levels:
Bachelors in Engineering/Computer Science or Master degree or equivalent Industry Experience of around 6+ years

Skills, Knowledge and Experience:
Hands on experience designing web-based applications in Java technologies
Hands on experience in Java latest version (java 8), springboot, and microservices Architecture
Experience designing and building browser-based software, cloud or AWS experience
Experience with databases, persistence frameworks and SQL
Solid design and programming experience and very strong in programming disciplines like object oriented principles, design patterns, data structures and unit testing
Significant experience using Agile Scrum development processes.
Excellent analytical and technical skills.
Excellent communication and interpersonal skills
Ability to work effectively with dispersed, remote and global teams when needed.
Having a wide range of experience and understanding of trends and technologies, uses technical knowledge to resolve complex issues in creative and effective ways
Preferred Skills and Experience:
Experience with Ecommerce domain would be preferred
Experience with Ui development
At Thermo Fisher Scientific, each one of our 70,000 extraordinary minds has a unique story to tell. Apply today http://jobs.thermofisher.com .

Thermo Fisher Scientific is an EEO/Affirmative Action Employer and does not discriminate on the basis of race, color, religion, sex, sexual orientation, gender identity, national origin, protected veteran status, disability or any other legally protected status.",job title software engineer java job location whitefield bangalore about company thermo fisher scientific inc is the world leader in serving science with revenues of more than 25 billion and approximately 75000 employees globally we help our customers accelerate life sciences research solve complex analytical challenges improve patient diagnostics deliver medicines to market and increase laboratory productivity through our premier brands  thermo scientific applied biosystems invitrogen fisher scientific and unity lab services  we offer an unmatched combination of innovative technologies purchasing convenience and comprehensive services about team we are digital engineering team  the software center of excellence for thermo fisher scientific we are responsible for developing and delivering saas based applications and digital lab cloudbased tools to help scientists do their work more efficiently and with precision enabling them to make our world healthier cleaner and safer our world class software products and solutions accelerate scientific discovery and lab productivity these solutions provide rich content selection tools collaboration tools and scientific apps that allow our customers to focus on innovation and the complexities of their science create a connected world for our customers where discoveries happen the smart way  where every deviceproduct is connected selfaware and selfhealingthereby enabling efficient workflows and collaborative science enable our customers to efficiently manage their lab by providing them insight to workflow processes asset uptime and product availability we give them the flexibility to access what they need when they need it allowing them to select and receive products and services across multiple channels we apply industry best practices to the design development and deployment of worldclass software products built to leverage the power and scalability of the cloud roles  responsibilities we are looking for a backend web developer to join our new and growing engineering team in ecommerce the ideal candidate is an energetic selfstarter with strong work experience this person will play a central role in the delivery of applications and services that empower users to improve their health as a senior software engineer you will be responsible for designing developing testing and deploying applications participating in architecture and code reviews helping to prioritize features and bug fixes working collaboratively with crossfunctional teams at thermofisher leading in the pursuit and delivery of the best possible product job functions define and develop verifiable requirements and software designs develop technical documentation for software architecture design and verification plans define and develop software requirements architectures and designs suited or faulttolerant systems participate in all aspects of software development systems integration test execution issue resolution and reviews collaborate and communicate effectively with software hardware and test engineers across the team candidate requirement education  experience levels bachelors in engineeringcomputer science or master degree or equivalent industry experience of around 6 years skills knowledge and experience hands on experience designing webbased applications in java technologies hands on experience in java latest version java 8 springboot and microservices architecture experience designing and building browserbased software cloud or aws experience experience with databases persistence frameworks and sql solid design and programming experience and very strong in programming disciplines like object oriented principles design patterns data structures and unit testing significant experience using agile scrum development processes excellent analytical and technical skills excellent communication and interpersonal skills ability to work effectively with dispersed remote and global teams when needed having a wide range of experience and understanding of trends and technologies uses technical knowledge to resolve complex issues in creative and effective ways preferred skills and experience experience with ecommerce domain would be preferred experience with ui development at thermo fisher scientific each one of our 70000 extraordinary minds has a unique story to tell apply today httpjobsthermofishercom  thermo fisher scientific is an eeoaffirmative action employer and does not discriminate on the basis of race color religion sex sexual orientation gender identity national origin protected veteran status disability or any other legally protected status,"Bangalore, India",Remote,4,"['scrum', 'microservices', 'aws', 'agile', 'java']","Bangalore, India",27
609,Flutter Developer,"We are an established IT company based in Dubai-UAE currently expanding our development team in India.

*The Position*:

We are looking for Flutter Developer.

*Minimum Requirements: *

· Bachelor's degree in computer science.

· 2-6 years of solid Programming Experience.

· Minimum 1 year of experience in Flutter.

*Skills Required: *

· App design implementation in Dart.

· Working on bug fixing and improving application performance.

· Choose the best flutter architecture suited for the project.

· Ability to integrate REST API's efficiently.

· Good experience in either Android or iOS publishing.

· Good experience in integrating plugins & SDK's.

*The Location: * Koratty info park, Thrissur, Kerala

Job Types: Full-time, Contract

Experience:
* flutter: 1 year (Required)

Education:
* Bachelor's (Preferred)",we are an established it company based in dubaiuae currently expanding our development team in india the position we are looking for flutter developer minimum requirements   bachelors degree in computer science  26 years of solid programming experience  minimum 1 year of experience in flutter skills required   app design implementation in dart  working on bug fixing and improving application performance  choose the best flutter architecture suited for the project  ability to integrate rest apis efficiently  good experience in either android or ios publishing  good experience in integrating plugins  sdks the location  koratty info park thrissur kerala job types fulltime contract experience  flutter 1 year required education  bachelors preferred,India,Contract,,"['flutter', 'ios', 'android']",India,28
613,Network Administrator,"Required Network Engineer with Knowledge of Hardware and Networking Device Installation, troubleshooting, virtualization.
design and implement new solutions and improve resilience of the current environment
Knowledge of Windows Server. Can Manage Configure Network Activities like the Internet, systems connectivity, LAN Management
Installation Of Multimedia Products Installation. Configuration of Operating Systems.
Can Manage Network, Server, Switch & Structure Cabling Environment Setup.
Ensuring the highest levels of systems and infrastructure availability.
Should know about CCTV, EPBX, Attendance systems. Fire Wall.
Designing and installing computer hardware configurations.
Installing software and networking systems.
Troubleshooting network and software issues.
Installing high-level software security systems.
Fixing hardware, software, and networking issues
Other job titles used for this area of work include:
network architect/computer network architect
network/helpdesk support
support/security/systems engineer
IT/systems support engineer
network administrator
first/second-line support
VoIP/Cisco engineer.
Expected Start Date: 1/11/2020
Job Types: Full-time, Walk-In
Salary: Up to ₹25,000.00 per month
Experience:
Routing & Switching : 1 year (Preferred)
Networking: 2 years (Preferred)
Firewall: 1 year (Preferred)
Location:
Ahmedabad, Gujarat (Preferred)
Application Question:
What is your current CTC ?
Work Remotely:
No",required network engineer with knowledge of hardware and networking device installation troubleshooting virtualization design and implement new solutions and improve resilience of the current environment knowledge of windows server can manage configure network activities like the internet systems connectivity lan management installation of multimedia products installation configuration of operating systems can manage network server switch  structure cabling environment setup ensuring the highest levels of systems and infrastructure availability should know about cctv epbx attendance systems fire wall designing and installing computer hardware configurations installing software and networking systems troubleshooting network and software issues installing highlevel software security systems fixing hardware software and networking issues other job titles used for this area of work include network architectcomputer network architect networkhelpdesk support supportsecuritysystems engineer itsystems support engineer network administrator firstsecondline support voipcisco engineer expected start date 1112020 job types fulltime walkin salary up to 2500000 per month experience routing  switching  1 year preferred networking 2 years preferred firewall 1 year preferred location ahmedabad gujarat preferred application question what is your current ctc  work remotely no,"Ahmedabad, India",Remote,,['windows'],"Ahmedabad, India",29
633,Wordpress Developer,"Urgently looking for Wordpress Developer

Experience: minimum 2 years in Wordpress

Company: Weavers Web Solutions Pvt Ltd

Weavers Web Solutions Private Limited; established in the year 2010; has grown from a small web design and development company to a company that is overflowing with talented and dedicated individuals. Today we stand strong with a team of 85+ individuals who ensure to practice what they preach—deliver quality work always!

Description:
Creating the website architecture.
Designing and managing the website back-end including database and server integration.
Generating WordPress themes and plugins.
Conducting website performance tests.
Troubleshooting content issues.
Conducting WordPress training with the client.
Monitoring the performance of the live website.
Requirement:
Bachelor’s degree in Computer Science or a similar field.
Proven work experience as a WordPress Developer for min 2 years.
Strong knowledge on PHP
Knowledge of front-end technologies including CSS3, JavaScript, HTML5, and jQuery.
Knowledge of code versioning tools including Git, Mercurial, and SVN.
Experience working with debugging tools such as Chrome Inspector and Firebug.
Good understanding of website architecture and aesthetics.
Good communication skills.
Salary: Negotiable depend on last drawn/current

Location: Kolkata

Job Type: Full-time

Salary: Up to ₹400,000.00 per year

Schedule:
Day shift
Experience:
WordPress: 1 year (Preferred)
work: 1 year (Preferred)
total work: 1 year (Preferred)
Education:
Bachelor's (Preferred)
Work Remotely:
No",urgently looking for wordpress developer experience minimum 2 years in wordpress company weavers web solutions pvt ltd weavers web solutions private limited established in the year 2010 has grown from a small web design and development company to a company that is overflowing with talented and dedicated individuals today we stand strong with a team of 85 individuals who ensure to practice what they preachdeliver quality work always description creating the website architecture designing and managing the website backend including database and server integration generating wordpress themes and plugins conducting website performance tests troubleshooting content issues conducting wordpress training with the client monitoring the performance of the live website requirement bachelors degree in computer science or a similar field proven work experience as a wordpress developer for min 2 years strong knowledge on php knowledge of frontend technologies including css3 javascript html5 and jquery knowledge of code versioning tools including git mercurial and svn experience working with debugging tools such as chrome inspector and firebug good understanding of website architecture and aesthetics good communication skills salary negotiable depend on last drawncurrent location kolkata job type fulltime salary up to 40000000 per year schedule day shift experience wordpress 1 year preferred work 1 year preferred total work 1 year preferred education bachelors preferred work remotely no,"Kolkata, India",Remote,,"['jquery', 'php', 'javascript', 'git']","Kolkata, India",30
646,DevOps Engineer,"Internet Testing Systems (ITS) is seeking for DevOps Engineers to join our team*
ITS is a rapidly growing technology company providing cutting edge technology and quality service to the computer-based testing industry. We believe in strong team dynamics, job satisfaction, and making each team member successful. Because of our unique and leading-edge software environment, our employees typically experience a dramatic increase in their skills and knowledge as they work at ITS. We believe that work should be fun, and that a successful company needs to nurture their employees, not burn them out.
Position Summary*
We are seeking candidates who wish to join our team in a challenging and rewarding work environment. You will be a part of a team that encourages growth, focuses on short- and long-term goals and encourages sharing and cross team development. You will be expected to accomplish the following technical tasks:
Design, implement and maintain logging and monitoring solutions
Design, implement and maintain alerts and failure detection and prediction solutions (health check)
Building strategies around security and compliance to enforce set governance
Configuring, integration and maintaining source code repositories
Maintaining communication with stakeholders, DevOps process documentation
Define, implement and maintaining continuous delivery and release management (developing deployment scripts, templates, orchestration of automation solution and deployment of per environment decisions etc.,)
Designing and maintaining build automation and related strategies
The DevOps Engineer is responsible for Designing DevOps strategy, development process, implementing continuous integration, implementing continuous delivery and others related to DevOps.
Responsibilities*
Ability to act on details as mentioned in the above position summary. Successful candidates will be working on any one or all required technology skills and the ability to implement projects from start to finish.

Job Type: Full-time

Experience:
Azure DevOps: 2 years (Preferred)
.NET: 2 years (Required)
total work: 5 years (Required)
DevOps Engineer: 2 years (Required)
Education:
Bachelor's (Required)
Location:
Coimbatore, Tamil Nadu (Preferred)
Licence:
Azure DevOps AZ-900 or AZ-400 or similar (Preferred)
Work Remotely:
Temporarily due to COVID-19",internet testing systems its is seeking for devops engineers to join our team its is a rapidly growing technology company providing cutting edge technology and quality service to the computerbased testing industry we believe in strong team dynamics job satisfaction and making each team member successful because of our unique and leadingedge software environment our employees typically experience a dramatic increase in their skills and knowledge as they work at its we believe that work should be fun and that a successful company needs to nurture their employees not burn them out position summary we are seeking candidates who wish to join our team in a challenging and rewarding work environment you will be a part of a team that encourages growth focuses on short and longterm goals and encourages sharing and cross team development you will be expected to accomplish the following technical tasks design implement and maintain logging and monitoring solutions design implement and maintain alerts and failure detection and prediction solutions health check building strategies around security and compliance to enforce set governance configuring integration and maintaining source code repositories maintaining communication with stakeholders devops process documentation define implement and maintaining continuous delivery and release management developing deployment scripts templates orchestration of automation solution and deployment of per environment decisions etc designing and maintaining build automation and related strategies the devops engineer is responsible for designing devops strategy development process implementing continuous integration implementing continuous delivery and others related to devops responsibilities ability to act on details as mentioned in the above position summary successful candidates will be working on any one or all required technology skills and the ability to implement projects from start to finish job type fulltime experience azure devops 2 years preferred net 2 years required total work 5 years required devops engineer 2 years required education bachelors required location coimbatore tamil nadu preferred licence azure devops az900 or az400 or similar preferred work remotely temporarily due to covid19,"Coimbatore, India",Remote,4,['azure'],"Coimbatore, India",31
